Step,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return
5000,941.07461746569,895.928135806618,895.637043181371,793.531641981557,794.486166304587
10000,959.838279078046,858.683002124161,934.037699227539,588.024052388317,941.557921631612
15000,894.567143788218,855.391828887012,948.493879932428,814.580896168704,832.726614145034
20000,868.393365867362,427.012886691609,943.886959529119,660.375187611144,903.207090499899
25000,860.28023846902,519.901296889663,920.241627458153,827.954654609694,1021.15587751073
30000,905.094652334578,46.6761044949609,865.346765371989,396.557482789357,452.489311561734
35000,858.728534219602,5.08043808062218,887.6873524101,76.095278930197,143.45397395604
40000,791.434946849697,194.914456766792,210.77660487581,94.1244777617138,37.2413251018464
45000,791.513770392703,15.8218947332555,859.192605291322,178.038715308473,452.642527250793
50000,707.747529271997,43.5705272447268,892.511171368068,191.686007338556,638.076882793561
55000,911.937276186972,157.196623913396,684.984222134098,303.918046944425,1902.26028342089
60000,802.88764196015,814.618224687743,306.494519057017,525.636914625577,2548.14512937039
65000,1688.13648409733,847.741895167009,366.260537769996,1546.12071710621,2807.84193145438
70000,1544.02156619062,2453.83585163839,792.88510669752,1912.26540127861,2222.07699455067
75000,1120.19916707971,2411.04394518482,1312.15795983913,1614.16105723505,2774.25246555554
80000,1258.42311391692,2802.482142952,1905.97828718591,1686.75023943341,3116.07895487244
85000,2154.79841942268,3055.72042552747,1634.17536254858,1957.25935010089,2936.12282868547
90000,3156.38598928287,3418.75485717783,1826.72733053201,3512.49292067452,3150.01813526258
95000,3132.03956737138,3332.53784034898,2265.87583645587,3476.02482047097,3062.73640008311
100000,3350.27415138267,3045.28136561166,1848.33466607723,3777.4739726971,3815.6944168701
105000,3392.47403748475,3704.82770684295,3313.90889424508,3702.80425948825,3781.43998400979
110000,3679.87499769554,3620.5557102355,2990.79220494317,2469.74765311828,3858.14495387114
115000,2191.81831661168,3360.67841477029,3295.89852700291,3708.64052552923,4001.16223458923
120000,3053.83001548493,3916.91616977012,3197.35901988608,3410.03009961195,4067.01497666612
125000,3743.16169005451,3245.15424389764,3396.33680542996,4077.81661625521,4055.66129326353
130000,2584.47068090837,3424.18920434393,3566.05685268984,4232.65417354295,4124.60839818667
135000,4039.40219651657,3538.99652178091,3066.11122786563,3741.45579138689,3877.59199839529
140000,4078.85517135089,4148.3032402652,3921.57616886407,4549.04540217695,4402.54478352578
145000,4274.69893646959,3451.91390600246,3174.76645911669,4706.27004969824,4367.0850110627
150000,4252.57465112475,2789.67408035486,4063.66991951013,4354.86724393491,4205.88461505901
155000,4396.79452184628,4515.1082600646,4102.65740181502,4955.80609841089,4607.68443903209
160000,4300.62686561548,4490.98250585115,2436.72813074121,4959.78498967181,4119.25291718588
165000,4279.79276486708,4002.50833145174,3729.10866590346,5387.39203481584,4683.94661672951
170000,4314.19574640356,4856.36263363823,3747.13231804781,4378.95163449266,4856.82464640613
175000,4399.13824932347,4984.93156218548,3073.24259126093,3831.90088358412,4905.83514346682
180000,4616.29328502689,5109.12233480143,4708.76050992837,5712.77922287283,5265.20657595286
185000,4812.58449438362,5258.25817219372,4737.95462345266,5572.75049660812,4449.37709570736
190000,4963.73721551892,5296.72401552784,4741.82649432868,5589.9263863089,5345.47557984136
195000,4849.81402395585,4914.10483125218,2691.36671299109,4361.68967488767,4278.83306542122
200000,5106.09970043103,2568.59540637002,4330.73481887163,5997.57965151954,5581.70975261426
205000,5246.30398603597,4820.55841644782,4328.6340747243,5917.23944099236,5548.07131742048
210000,5304.64408166904,4224.33228366964,5108.42917314897,5463.48939306674,5618.65318629949
215000,5322.22909727857,4610.33195698012,4638.52897663857,5962.78061183994,4223.6235093726
220000,5356.89813297988,4020.1916004318,5228.73166510054,6022.45446060965,5810.21711084977
225000,3831.29577557861,3978.56326194319,4727.88563168316,6062.87459267412,5939.96106625044
230000,5677.90016921517,5122.82324977299,5135.05043782901,6009.08909905603,5917.72367525075
235000,5688.00077612786,3345.99291727068,5382.66228059206,6031.95582095567,5992.47262019403
240000,5693.27782149809,3430.21518882868,5441.2834119127,4875.35523997421,6063.10402667235
245000,5822.26202976952,5416.04723958108,3987.47784191146,6083.32529625468,6154.57882437425
250000,5890.90803884485,5495.90069147129,5417.81292428076,5805.36387658634,6162.06152368287
255000,5673.05144158468,3817.21777416305,4364.05886536355,6086.99016638586,6093.28883558646
260000,5911.23763712613,4958.7143352176,4120.44551098342,6002.58191611616,6100.77197005988
265000,5994.4027968276,4985.06344892275,5738.4633029283,4829.13007532205,6170.57047507021
270000,5964.03244642103,4425.75411245469,5268.49067577882,6072.74212851274,5956.05851949061
275000,5996.38925876844,4749.5397556605,4466.54497429273,5026.73421509465,6243.95930665215
280000,6068.8874102431,5844.33309963185,5333.10622256805,6238.76832659161,6102.88775178733
285000,6064.24518249687,5743.50067725643,4131.31488752353,5485.68311952432,6180.08445959807
290000,6141.49513797829,5642.24626790577,5053.64503582183,5975.43645117554,6305.31004628785
295000,5428.45291458919,4237.39706357554,6055.21572557635,4911.55206013609,6346.29395126675
300000,6264.92064751128,5086.03689940636,6056.17075135042,6323.61827363107,6353.5869300777
