Step,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return
5000,940.187774995103,187.588478696353,183.577719831177,249.782510628768,671.563340930131
10000,10.9463613238156,346.101874383487,924.891015297851,265.96788857486,353.359459588719
15000,320.794721591274,357.414354848972,304.759933707878,292.562050659807,399.609780666773
20000,365.551952796379,315.872095406699,373.492991331091,895.979325326684,295.175983937103
25000,233.864194815506,308.902035572086,352.915306531689,1801.96080467535,306.233037423852
30000,285.162678888215,286.454225844272,338.122128754686,1172.10214862485,350.17250958256
35000,338.774456908936,386.097291818003,274.855156059376,1231.69839796389,503.821758500076
40000,390.640698037664,400.721568810594,421.501981891048,874.344533037064,462.74040514554
45000,368.035279387474,511.31565321943,825.409870414467,1993.34846108294,949.627556354372
50000,490.200597539782,425.131123225742,667.331938950613,885.726365824212,535.730846891902
55000,702.384591226683,1127.11930196081,698.510565296475,995.299616074655,682.087829381726
60000,825.418492844577,477.237470309041,333.06193795841,1976.97931286727,999.036490219475
65000,553.693529473489,2446.57795449874,251.57458313613,2950.46079974976,1060.52459360631
70000,754.155506474197,2658.51887487057,621.44101790529,2388.55040455367,1143.05197745576
75000,1845.57010722043,2456.55157793553,795.982164287668,3011.30779922341,574.573574762972
80000,886.949410242956,2775.28038887196,961.784795672525,4287.43204717939,771.289832121331
85000,2264.40445781192,3092.46110906308,251.209685932194,4017.78124168124,779.107771839769
90000,3074.82633701302,3269.05672068345,1331.02042713868,963.293675475991,1366.45944814503
95000,3939.77740387226,3374.76619107227,2699.25524458362,3974.06032227203,2118.58303011712
100000,3613.10760431033,3092.93333206013,1401.0366944242,3183.53766291471,1202.75064303291
105000,3645.17331422214,2769.97896109071,1424.06614423497,2495.44998572522,2731.39605246612
110000,2363.44479168115,3614.85900802728,97.6680961384035,4280.188120599,1745.85660783924
115000,3201.11629495181,3086.43795817185,93.0537053861205,4274.59386343812,424.489698977168
120000,3674.8414934634,2769.8825834805,106.712820733042,4363.15344259952,2421.26964049157
125000,3598.52909826824,3672.12495136132,1477.93147317432,1854.46530213641,3222.99281318836
130000,3350.12918443133,1747.29603991345,2933.05621455597,4156.50019898244,1578.39381761912
135000,3092.44208634332,3873.37580291628,3140.28081620512,4293.99643018901,3292.33394337566
140000,1680.79739885463,980.693565648883,802.455942404259,4165.25683691942,3428.99637212853
145000,400.966168573128,2616.23276517032,3168.8591814942,4197.25999032828,150.562882177621
150000,443.008998275568,1140.56694914314,3570.37530705887,4450.30734131824,3327.51827145709
155000,397.774251057392,837.105142589278,3490.70341388342,4396.0946818618,3210.08300950948
160000,1760.76489993575,606.977913031168,3740.17144785143,4241.70333039899,2614.8386566911
165000,3909.87226935547,755.51272908037,3542.76625463098,4083.15498136928,2399.0686289141
170000,4187.64233943701,3550.25310101409,2969.86428103317,1973.12689112977,2207.21603995433
175000,4209.90211163099,3045.19786733304,1529.82675571405,4490.79442281931,2206.36402772084
180000,3413.54434160449,2874.24155426779,1476.27093626775,4346.28062512845,1957.36403313096
185000,4098.19364659564,3076.45734409015,1129.50765208957,2112.6787697161,1356.79534179087
190000,4224.34274649984,2896.12255702245,2338.92030235113,198.763610535861,2068.96293363307
195000,4154.64101848795,1414.46310484385,1790.93199667105,-8.10703962793957,2839.06483650189
200000,4570.08016575582,537.941298160112,1704.65442392513,212.502648851234,2745.88174565689
205000,3536.58145197715,2326.16371542056,3291.40405735805,181.688425953194,2850.04528420232
210000,677.883777673805,2998.32947981074,1658.7057230508,318.043530009736,2348.77166523434
215000,3051.58597035887,3784.14618112496,1075.90272645828,531.034277337074,2491.74901025754
220000,2134.7642896471,3923.20615391479,1376.95869372249,1236.96161868532,2713.23811123565
225000,431.581937266535,3889.3313776585,3381.1883450685,2764.64458476432,2820.77677843574
230000,1800.70182671423,3898.37792900859,3087.76472410456,4272.26009734228,2988.51000018192
235000,2860.62508868439,4091.01422290385,3131.03818761725,4284.96008355281,2960.80027788708
240000,3593.7273109985,3420.24445785279,1784.38206899953,3569.74963435745,2926.18444751464
245000,4149.32310194964,4078.92509440696,395.227475102729,3999.37607384565,2792.52467969608
250000,4141.16100350628,867.006238324416,266.768641651635,4177.87944241538,2795.05088037453
255000,4545.55844391915,4215.76181816777,170.851241553889,2444.25879296784,2285.02098584444
260000,4511.28967389911,4346.196566119,310.08483155074,4270.87834137507,2984.64872586688
265000,4557.32148610474,4393.49538003957,466.316120912015,4547.63844751768,2692.22040770901
270000,4716.95455351029,4205.03181286766,381.340417741485,4655.81802240684,2617.04353774197
275000,4492.67908450632,4273.35146976093,799.067306204379,5069.18857439858,3033.33909303497
280000,4715.5423858439,4451.67781883812,299.071641476666,5029.91846337871,2940.05041461128
285000,3759.9502842486,4507.50372602409,391.795009077543,4716.99646627825,3100.86781519156
290000,4983.06105694059,4359.0575286874,2656.50222547786,4710.12423255752,3173.42167283505
295000,3714.28764704489,4551.78396810859,466.663679902298,4902.79530770872,3376.55095658601
